Epoch 90/100 (90.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 107717ms
Epoch 91/100 (91.0%) - Acc: 0.3457, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 125712ms
Epoch 92/100 (92.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 92037ms
Epoch 93/100 (93.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 122553ms
Epoch 94/100 (94.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 92740ms
Epoch 95/100 (95.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 124106ms
Epoch 96/100 (96.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 75431779ms
Epoch 97/100 (97.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 121434ms
Epoch 98/100 (98.0%) - Acc: 0.3458, Loss: 0.6897, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 97187ms
Epoch 99/100 (99.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 127971ms
Epoch 100/100 (100.0%) - Acc: 0.3457, Loss: 0.6898, Val_Acc: 0.3468, Val_Loss: 0.6911, Time: 97976ms
